"Site","Quad","Species","trackID","Year","basalArea_genet","recruit","survives_tplus1","age","size_tplus1","nearEdge","Suspect"
"KS","e1q2-4","Andropogon gerardii","ANDGER_62_6",63,125.492642297193,0,1,1,209.890273634602,TRUE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_62_6",64,209.890273634602,0,1,2,5.587477469372,TRUE,TRUE
"KS","e1q2-4","Andropogon gerardii","ANDGER_62_6",65,5.587477469372,0,1,3,19.2336566569624,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_62_6",66,19.2336566569624,0,1,4,165.102386912289,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_62_6",67,165.102386912289,0,0,5,NA,TRUE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_62_7",62,2.47578008748701,1,0,0,NA,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_62_8",62,2.05106037159615,1,0,0,NA,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_62_9",62,6.25443788123188,1,0,0,NA,TRUE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_65_1",65,4.87945194064202,1,1,0,54.1511192666205,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_65_1",67,54.1511192666205,0,0,1,NA,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_65_2",65,6.68899483803803,1,0,0,NA,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_66_1",66,22.2803043200826,1,0,0,NA,TRUE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_66_2",66,30.6094737763094,1,0,0,NA,TRUE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_66_3",66,14.0495729451415,1,0,0,NA,TRUE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_67_1",67,28.5015613242865,1,1,0,66.50287921878,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_67_1",69,66.50287921878,0,1,1,35.7096151907063,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_67_1",70,35.7096151907063,0,1,2,1.160978320124,FALSE,TRUE
"KS","e1q2-4","Andropogon gerardii","ANDGER_67_1",72,1.160978320124,0,NA,3,NA,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_67_2",67,65.4891792744169,1,0,0,NA,TRUE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_67_3",67,15.6675258778938,1,0,0,NA,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_69_1",69,57.9276665104151,1,1,0,23.746272288945,TRUE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_69_1",70,23.746272288945,0,1,1,59.0129285692605,TRUE,FALSE
